English Premier League 1998/1999
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1998-08-07 00:00:00,Brentford,Mansfield,3,0
1,1998-08-07 00:00:00,Carlisle,Brighton,1,0
1,1998-08-07 00:00:00,Chester,Leyton Orient,0,2
1,1998-08-07 00:00:00,Darlington,Barnet,0,2
1,1998-08-07 00:00:00,Hartlepool,Cardiff,1,1
1,1998-08-07 00:00:00,Peterborough,Halifax,0,2
1,1998-08-07 00:00:00,Plymouth,Rochdale,2,1
1,1998-08-07 00:00:00,Rotherham,Hull City,3,1
1,1998-08-07 00:00:00,Scarborough FC,Southend,1,2
1,1998-08-07 00:00:00,Shrewsbury,Scunthorpe,2,1
1,1998-08-07 00:00:00,Swansea,Exeter,2,0
1,1998-08-07 00:00:00,Torquay,Cambridge Utd,0,1
2,1998-08-14 00:00:00,Barnet,Hartlepool,0,2
2,1998-08-14 00:00:00,Brighton,Chester,2,2
2,1998-08-14 00:00:00,Cambridge Utd,Swansea,2,1
2,1998-08-14 00:00:00,Cardiff,Peterborough,1,3
2,1998-08-14 00:00:00,Exeter,Scarborough FC,1,0
2,1998-08-14 00:00:00,Halifax,Brentford,1,0
2,1998-08-14 00:00:00,Hull City,Darlington,1,2
2,1998-08-14 00:00:00,Leyton Orient,Rotherham,1,4
2,1998-08-14 00:00:00,Mansfield,Plymouth,2,0
2,1998-08-14 00:00:00,Rochdale,Torquay,0,2
2,1998-08-14 00:00:00,Scunthorpe,Carlisle,3,1
2,1998-08-14 00:00:00,Southend,Shrewsbury,2,1
3,1998-08-20 00:00:00,Shrewsbury,Cardiff,0,3
3,1998-08-21 00:00:00,Brentford,Brighton,2,0
3,1998-08-21 00:00:00,Carlisle,Rochdale,0,1
3,1998-08-21 00:00:00,Darlington,Halifax,2,2
3,1998-08-21 00:00:00,Hartlepool,Scunthorpe,1,2
3,1998-08-21 00:00:00,Peterborough,Southend,1,1
3,1998-08-21 00:00:00,Plymouth,Barnet,2,0
3,1998-08-21 00:00:00,Rotherham,Cambridge Utd,2,0
3,1998-08-21 00:00:00,Scarborough FC,Mansfield,2,3
3,1998-08-21 00:00:00,Swansea,Leyton Orient,1,1
3,1998-08-21 00:00:00,Torquay,Exeter,1,0
3,1998-08-22 00:00:00,Chester,Hull City,2,2
4,1998-08-27 00:00:00,Halifax,Shrewsbury,2,0
4,1998-08-28 00:00:00,Barnet,Brentford,0,3
4,1998-08-28 00:00:00,Brighton,Torquay,2,0
4,1998-08-28 00:00:00,Cambridge Utd,Hartlepool,1,2
4,1998-08-28 00:00:00,Cardiff,Rotherham,0,1
4,1998-08-28 00:00:00,Exeter,Carlisle,2,0
4,1998-08-28 00:00:00,Hull City,Peterborough,1,0
4,1998-08-28 00:00:00,Leyton Orient,Scarborough FC,0,3
4,1998-08-28 00:00:00,Mansfield,Swansea,1,0
4,1998-08-28 00:00:00,Rochdale,Darlington,0,0
4,1998-08-28 00:00:00,Scunthorpe,Plymouth,0,2
4,1998-08-28 00:00:00,Southend,Chester,0,1
5,1998-08-30 00:00:00,Brentford,Rochdale,2,1
5,1998-08-30 00:00:00,Darlington,Cardiff,3,0
5,1998-08-30 00:00:00,Hartlepool,Hull City,1,0
5,1998-08-30 00:00:00,Peterborough,Exeter,4,1
5,1998-08-30 00:00:00,Plymouth,Halifax,1,0
5,1998-08-30 00:00:00,Rotherham,Mansfield,0,0
5,1998-08-30 00:00:00,Scarborough FC,Brighton,1,2
5,1998-08-30 00:00:00,Shrewsbury,Barnet,0,2
5,1998-08-30 00:00:00,Swansea,Scunthorpe,1,2
5,1998-08-31 00:00:00,Carlisle,Southend,3,0
5,1998-08-31 00:00:00,Chester,Cambridge Utd,0,3
5,1998-08-31 00:00:00,Torquay,Leyton Orient,1,1
6,1998-09-03 00:00:00,Halifax,Hartlepool,2,1
6,1998-09-04 00:00:00,Barnet,Peterborough,1,9
6,1998-09-04 00:00:00,Brighton,Swansea,1,0
6,1998-09-04 00:00:00,Cambridge Utd,Scarborough FC,2,3
6,1998-09-04 00:00:00,Cardiff,Plymouth,1,0
6,1998-09-04 00:00:00,Exeter,Chester,0,1
6,1998-09-04 00:00:00,Hull City,Brentford,2,3
6,1998-09-04 00:00:00,Leyton Orient,Carlisle,2,1
6,1998-09-04 00:00:00,Mansfield,Darlington,0,1
6,1998-09-04 00:00:00,Rochdale,Shrewsbury,1,0
6,1998-09-04 00:00:00,Scunthorpe,Torquay,2,0
6,1998-09-04 00:00:00,Southend,Rotherham,3,0
7,1998-09-07 00:00:00,Cardiff,Barnet,1,0
7,1998-09-07 00:00:00,Carlisle,Swansea,1,2
7,1998-09-07 00:00:00,Darlington,Hartlepool,2,0
7,1998-09-07 00:00:00,Exeter,Brighton,1,0
7,1998-09-07 00:00:00,Hull City,Rochdale,2,1
7,1998-09-07 00:00:00,Leyton Orient,Mansfield,1,1
7,1998-09-07 00:00:00,Peterborough,Chester,3,0
7,1998-09-07 00:00:00,Rotherham,Plymouth,0,2
7,1998-09-07 00:00:00,Scunthorpe,Cambridge Utd,3,2
7,1998-09-07 00:00:00,Southend,Halifax,0,0
7,1998-09-07 00:00:00,Torquay,Brentford,3,1
7,1998-09-08 00:00:00,Scarborough FC,Shrewsbury,2,0
8,1998-09-10 00:00:00,Halifax,Cardiff,1,2
8,1998-09-11 00:00:00,Barnet,Hull City,4,1
8,1998-09-11 00:00:00,Brentford,Rotherham,0,3
8,1998-09-11 00:00:00,Brighton,Southend,0,2
8,1998-09-11 00:00:00,Cambridge Utd,Leyton Orient,1,0
8,1998-09-11 00:00:00,Chester,Torquay,2,0
8,1998-09-11 00:00:00,Hartlepool,Exeter,4,3
8,1998-09-11 00:00:00,Mansfield,Carlisle,1,1
8,1998-09-11 00:00:00,Plymouth,Darlington,1,2
8,1998-09-11 00:00:00,Rochdale,Scunthorpe,2,2
8,1998-09-11 00:00:00,Shrewsbury,Peterborough,1,1
8,1998-09-11 00:00:00,Swansea,Scarborough FC,2,0
9,1998-09-18 00:00:00,Cardiff,Rochdale,2,1
9,1998-09-18 00:00:00,Carlisle,Chester,1,1
9,1998-09-18 00:00:00,Darlington,Shrewsbury,1,0
9,1998-09-18 00:00:00,Exeter,Barnet,1,0
9,1998-09-18 00:00:00,Hull City,Halifax,1,2
9,1998-09-18 00:00:00,Leyton Orient,Brighton,1,0
9,1998-09-18 00:00:00,Peterborough,Plymouth,0,2
9,1998-09-18 00:00:00,Rotherham,Hartlepool,3,0
9,1998-09-18 00:00:00,Scarborough FC,Brentford,3,1
9,1998-09-18 00:00:00,Scunthorpe,Mansfield,3,2
9,1998-09-18 00:00:00,Southend,Cambridge Utd,0,1
9,1998-09-18 00:00:00,Torquay,Swansea,1,1
10,1998-09-25 00:00:00,Barnet,Rotherham,4,2
10,1998-09-25 00:00:00,Brentford,Darlington,3,0
10,1998-09-25 00:00:00,Brighton,Scunthorpe,1,3
10,1998-09-25 00:00:00,Cambridge Utd,Exeter,1,1
10,1998-09-25 00:00:00,Chester,Cardiff,2,2
10,1998-09-25 00:00:00,Halifax,Torquay,1,1
10,1998-09-25 00:00:00,Hartlepool,Peterborough,1,2
10,1998-09-25 00:00:00,Mansfield,Hull City,2,0
10,1998-09-25 00:00:00,Plymouth,Scarborough FC,0,0
10,1998-09-25 00:00:00,Rochdale,Leyton Orient,2,1
10,1998-09-25 00:00:00,Shrewsbury,Carlisle,1,1
10,1998-09-25 00:00:00,Swansea,Southend,3,1
11,1998-10-02 00:00:00,Cardiff,Brighton,2,0
11,1998-10-02 00:00:00,Carlisle,Barnet,2,1
11,1998-10-02 00:00:00,Darlington,Swansea,2,2
11,1998-10-02 00:00:00,Exeter,Mansfield,2,1
11,1998-10-02 00:00:00,Hull City,Cambridge Utd,0,3
11,1998-10-02 00:00:00,Leyton Orient,Hartlepool,1,1
11,1998-10-02 00:00:00,Peterborough,Brentford,2,4
11,1998-10-02 00:00:00,Rotherham,Shrewsbury,0,1
11,1998-10-02 00:00:00,Scarborough FC,Chester,2,4
11,1998-10-02 00:00:00,Scunthorpe,Halifax,0,4
11,1998-10-02 00:00:00,Southend,Rochdale,1,1
11,1998-10-02 00:00:00,Torquay,Plymouth,1,1
12,1998-10-08 00:00:00,Cambridge Utd,Brighton,2,3
12,1998-10-08 00:00:00,Carlisle,Scarborough FC,1,0
12,1998-10-08 00:00:00,Hull City,Cardiff,1,2
12,1998-10-08 00:00:00,Leyton Orient,Exeter,2,0
12,1998-10-08 00:00:00,Mansfield,Torquay,2,1
12,1998-10-08 00:00:00,Swansea,Rotherham,1,1
12,1998-10-09 00:00:00,Darlington,Peterborough,3,0
12,1998-10-09 00:00:00,Hartlepool,Shrewsbury,1,1
12,1998-10-09 00:00:00,Scunthorpe,Southend,1,1
12,1998-10-10 00:00:00,Barnet,Chester,0,0
12,1998-10-10 00:00:00,Rochdale,Halifax,1,0
13,1998-10-15 00:00:00,Halifax,Barnet,1,1
13,1998-10-16 00:00:00,Brentford,Hartlepool,3,1
13,1998-10-16 00:00:00,Brighton,Mansfield,1,3
13,1998-10-16 00:00:00,Cardiff,Cambridge Utd,0,1
13,1998-10-16 00:00:00,Chester,Swansea,1,1
13,1998-10-16 00:00:00,Exeter,Scunthorpe,2,2
13,1998-10-16 00:00:00,Peterborough,Rochdale,2,0
13,1998-10-16 00:00:00,Rotherham,Darlington,3,1
13,1998-10-16 00:00:00,Scarborough FC,Hull City,1,2
13,1998-10-16 00:00:00,Shrewsbury,Plymouth,2,1
13,1998-10-16 00:00:00,Southend,Leyton Orient,2,2
13,1998-10-16 00:00:00,Torquay,Carlisle,2,2
14,1998-10-19 00:00:00,Brentford,Scunthorpe,2,1
14,1998-10-19 00:00:00,Brighton,Plymouth,1,3
14,1998-10-19 00:00:00,Cardiff,Leyton Orient,0,0
14,1998-10-19 00:00:00,Chester,Hartlepool,1,1
14,1998-10-19 00:00:00,Exeter,Hull City,3,0
14,1998-10-19 00:00:00,Halifax,Cambridge Utd,3,3
14,1998-10-19 00:00:00,Peterborough,Carlisle,0,1
14,1998-10-19 00:00:00,Rotherham,Rochdale,2,2
14,1998-10-19 00:00:00,Shrewsbury,Swansea,1,0
14,1998-10-19 00:00:00,Southend,Mansfield,1,2
14,1998-10-19 00:00:00,Torquay,Darlington,2,2
14,1998-10-20 00:00:00,Scarborough FC,Barnet,0,0
15,1998-10-23 00:00:00,Barnet,Brighton,0,1
15,1998-10-23 00:00:00,Cambridge Utd,Shrewsbury,0,0
15,1998-10-23 00:00:00,Hartlepool,Torquay,4,1
15,1998-10-23 00:00:00,Hull City,Southend,1,1
15,1998-10-23 00:00:00,Leyton Orient,Halifax,1,0
15,1998-10-23 00:00:00,Scunthorpe,Rotherham,4,3
16,1998-10-30 00:00:00,Barnet,Rochdale,0,1
16,1998-10-30 00:00:00,Brighton,Hartlepool,3,2
16,1998-10-30 00:00:00,Cardiff,Exeter,1,0
16,1998-10-30 00:00:00,Chester,Shrewsbury,1,1
16,1998-10-30 00:00:00,Halifax,Swansea,2,0
16,1998-10-30 00:00:00,Leyton Orient,Scunthorpe,1,0
16,1998-10-30 00:00:00,Mansfield,Cambridge Utd,1,3
16,1998-10-30 00:00:00,Peterborough,Rotherham,2,4
16,1998-10-30 00:00:00,Plymouth,Hull City,0,0
16,1998-10-30 00:00:00,Scarborough FC,Torquay,1,1
16,1998-10-30 00:00:00,Southend,Darlington,2,1
17,1998-11-06 00:00:00,Cambridge Utd,Barnet,3,2
17,1998-11-06 00:00:00,Carlisle,Halifax,0,1
17,1998-11-06 00:00:00,Darlington,Brighton,1,2
17,1998-11-06 00:00:00,Exeter,Southend,2,1
17,1998-11-06 00:00:00,Hartlepool,Plymouth,2,0
17,1998-11-06 00:00:00,Hull City,Leyton Orient,0,1
17,1998-11-06 00:00:00,Rochdale,Mansfield,1,0
