English Premier League 1999/2000
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1999-08-06 00:00:00,Arsenal,Leicester,2,1
1,1999-08-06 00:00:00,Chelsea,Sunderland,4,0
1,1999-08-06 00:00:00,Coventry,Southampton,0,1
1,1999-08-06 00:00:00,Leeds,Derby,0,0
1,1999-08-06 00:00:00,Middlesbrough,Bradford,0,1
1,1999-08-06 00:00:00,Newcastle Utd,Aston Villa,0,1
1,1999-08-06 00:00:00,Sheffield Wed,Liverpool,1,2
1,1999-08-06 00:00:00,Watford,Wimbledon FC,2,3
1,1999-08-06 00:00:00,West Ham,Tottenham,1,0
1,1999-08-07 00:00:00,Everton,Manchester United,1,1
2,1999-08-08 00:00:00,Tottenham,Newcastle Utd,3,1
2,1999-08-09 00:00:00,Derby,Arsenal,1,2
2,1999-08-09 00:00:00,Sunderland,Watford,2,0
2,1999-08-09 00:00:00,Wimbledon FC,Middlesbrough,2,3
2,1999-08-10 00:00:00,Aston Villa,Everton,3,0
2,1999-08-10 00:00:00,Leicester,Coventry,1,0
2,1999-08-10 00:00:00,Manchester United,Sheffield Wed,4,0
2,1999-08-10 00:00:00,Southampton,Leeds,0,3
3,1999-08-13 00:00:00,Bradford,Sheffield Wed,1,1
3,1999-08-13 00:00:00,Derby,Middlesbrough,1,3
3,1999-08-13 00:00:00,Leicester,Chelsea,2,2
3,1999-08-13 00:00:00,Liverpool,Watford,0,1
3,1999-08-13 00:00:00,Manchester United,Leeds,2,0
3,1999-08-13 00:00:00,Sunderland,Arsenal,0,0
3,1999-08-13 00:00:00,Tottenham,Everton,3,2
3,1999-08-13 00:00:00,Wimbledon FC,Coventry,1,1
3,1999-08-14 00:00:00,Southampton,Newcastle Utd,4,2
3,1999-08-15 00:00:00,Aston Villa,West Ham,2,2
4,1999-08-20 00:00:00,Chelsea,Aston Villa,1,0
4,1999-08-20 00:00:00,Coventry,Derby,2,0
4,1999-08-20 00:00:00,Everton,Southampton,4,1
4,1999-08-20 00:00:00,Leeds,Sunderland,2,1
4,1999-08-20 00:00:00,Middlesbrough,Liverpool,1,0
4,1999-08-20 00:00:00,Newcastle Utd,Wimbledon FC,3,3
4,1999-08-20 00:00:00,Sheffield Wed,Tottenham,1,2
4,1999-08-20 00:00:00,Watford,Bradford,1,0
4,1999-08-20 00:00:00,West Ham,Leicester,2,1
4,1999-08-21 00:00:00,Arsenal,Manchester United,1,2
5,1999-08-22 00:00:00,Leeds,Liverpool,1,2
5,1999-08-23 00:00:00,Middlesbrough,Leicester,0,3
5,1999-08-23 00:00:00,Watford,Aston Villa,0,1
5,1999-08-24 00:00:00,Arsenal,Bradford,2,0
5,1999-08-24 00:00:00,Coventry,Manchester United,1,2
5,1999-08-24 00:00:00,Everton,Wimbledon FC,4,0
5,1999-08-24 00:00:00,Newcastle Utd,Sunderland,1,2
5,1999-08-24 00:00:00,Sheffield Wed,Derby,0,2
6,1999-08-27 00:00:00,Aston Villa,Middlesbrough,1,0
6,1999-08-27 00:00:00,Bradford,West Ham,0,3
6,1999-08-27 00:00:00,Derby,Everton,1,0
6,1999-08-27 00:00:00,Liverpool,Arsenal,2,0
6,1999-08-27 00:00:00,Southampton,Sheffield Wed,2,0
6,1999-08-27 00:00:00,Tottenham,Leeds,1,2
6,1999-08-27 00:00:00,Wimbledon FC,Chelsea,0,1
6,1999-08-28 00:00:00,Sunderland,Coventry,1,1
6,1999-08-29 00:00:00,Leicester,Watford,1,0
6,1999-08-29 00:00:00,Manchester United,Newcastle Utd,5,1
7,1999-09-10 00:00:00,Arsenal,Aston Villa,3,1
7,1999-09-10 00:00:00,Chelsea,Newcastle Utd,1,0
7,1999-09-10 00:00:00,Coventry,Leeds,3,4
7,1999-09-10 00:00:00,Liverpool,Manchester United,2,3
7,1999-09-10 00:00:00,Middlesbrough,Southampton,3,2
7,1999-09-10 00:00:00,Sheffield Wed,Everton,0,2
7,1999-09-10 00:00:00,Sunderland,Leicester,2,0
7,1999-09-10 00:00:00,West Ham,Watford,1,0
