English Championship 1999/2000
Matchday,Date,Home,Away,HomeGoals,AwayGoals
1,1999-08-06 00:00:00,Birmingham,Fulham,2,2
1,1999-08-06 00:00:00,Blackburn,Port Vale,0,0
1,1999-08-06 00:00:00,Charlton,Barnsley,3,1
1,1999-08-06 00:00:00,Crystal Palace,Crewe,1,1
1,1999-08-06 00:00:00,Grimsby,Stockport,0,1
1,1999-08-06 00:00:00,Ipswich,Nottingham,3,1
1,1999-08-06 00:00:00,Portsmouth,Sheffield Utd,2,0
1,1999-08-06 00:00:00,QPR,Huddersfield,3,1
1,1999-08-06 00:00:00,Tranmere,Bolton,0,0
1,1999-08-06 00:00:00,Walsall,Swindon,0,0
1,1999-08-06 00:00:00,West Brom,Norwich,1,1
1,1999-08-07 00:00:00,Manchester City,Wolves,0,1
2,1999-08-12 00:00:00,Huddersfield,Blackburn,3,2
2,1999-08-13 00:00:00,Barnsley,Crystal Palace,2,3
2,1999-08-13 00:00:00,Bolton,QPR,2,1
2,1999-08-13 00:00:00,Fulham,Manchester City,0,0
2,1999-08-13 00:00:00,Norwich,Birmingham,0,1
2,1999-08-13 00:00:00,Nottingham,Grimsby,2,1
2,1999-08-13 00:00:00,Port Vale,West Brom,1,2
2,1999-08-13 00:00:00,Sheffield Utd,Walsall,1,1
2,1999-08-13 00:00:00,Stockport,Tranmere,2,1
2,1999-08-13 00:00:00,Wolves,Portsmouth,1,1
2,1999-08-14 00:00:00,Swindon,Ipswich,1,4
3,1999-08-19 00:00:00,West Brom,Nottingham,1,1
3,1999-08-20 00:00:00,Birmingham,Port Vale,4,2
3,1999-08-20 00:00:00,Blackburn,Barnsley,1,2
3,1999-08-20 00:00:00,Charlton,Norwich,1,0
3,1999-08-20 00:00:00,Crystal Palace,Swindon,1,2
3,1999-08-20 00:00:00,Grimsby,Fulham,1,1
3,1999-08-20 00:00:00,Ipswich,Bolton,1,0
3,1999-08-20 00:00:00,Manchester City,Sheffield Utd,6,0
3,1999-08-20 00:00:00,Portsmouth,Stockport,2,0
3,1999-08-20 00:00:00,QPR,Wolves,1,1
3,1999-08-20 00:00:00,Tranmere,Huddersfield,1,0
3,1999-08-20 00:00:00,Walsall,Crewe,1,4
4,1999-08-26 00:00:00,Crewe,Grimsby,1,1
4,1999-08-26 00:00:00,Stockport,Birmingham,2,0
4,1999-08-27 00:00:00,Barnsley,Portsmouth,6,0
4,1999-08-27 00:00:00,Bolton,Manchester City,0,1
4,1999-08-27 00:00:00,Fulham,Charlton,2,1
4,1999-08-27 00:00:00,Huddersfield,Crystal Palace,7,1
4,1999-08-27 00:00:00,Norwich,Blackburn,0,2
