############################
# Premier League 2012/13

Matchday 20

[Sat Dec/29]
  Arsenal FC          7-3  Newcastle United
  Aston Villa         0-3  Wigan Athletic
  Everton FC          1-2  Chelsea FC
  Fulham FC           1-2  Swansea City
  Manchester United   2-0  West Brom
  Norwich City        3-4  Manchester City
  Queens Park Rangers 0-3  Liverpool FC
  Reading FC          1-0  West Ham United
  Stoke City          3-3  Southampton FC
  Sunderland AFC      1-2  Tottenham Hotspur

